District Name,State,Year Lifted,Year Placed,Order Type,Region
Kirkwood R-Vii,MO,1999,Unknown year,Involuntary,Midwest
Klein Isd,TX,2008,Unknown year,Involuntary,Southwest
Knox County,TN,1967,Unknown year,Involuntary,Southeast
Kosciusko School District,MS,STILL OPEN,1970,Involuntary,Southeast
La Vega Isd,TX,2007,Unknown year,Involuntary,Southwest
Ladue,MO,1999,Unknown year,Involuntary,Midwest
Lafayette,FL,2009,Unknown year,Involuntary,Southeast
Lafayette Co School Dist,MS,1989,Unknown year,Involuntary,Southeast
Lafayette Co. C-1,MO,1989,Unknown year,Involuntary,Midwest
Lafayette Parish,LA,2006,Unknown year,Involuntary,Southeast
Lafourche Parish,LA,STILL OPEN,1967,Involuntary,Southeast
Lake Forest School District,DE,STILL OPEN,1957,Involuntary,Southeast
Lake Ridge Schools,IN,STILL OPEN,1963,Involuntary,Midwest
Lamar County,AL,STILL OPEN,1963,Involuntary,Southeast
Lamar County,GA,2007,Unknown year,Involuntary,Southeast
Lanett City,AL,STILL OPEN,1963,Involuntary,Southeast
Lansing Public School District,MI,STILL OPEN,1973,Involuntary,Midwest
Lasalle Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Lauderdale Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lauderdale County,AL,STILL OPEN,1963,Involuntary,Southeast
Laurel School District,MS,STILL OPEN,1970,Involuntary,Southeast
Laurens County,GA,2008,Unknown year,Involuntary,Southeast
Lawrence Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lawrence County,AL,STILL OPEN,1977,Involuntary,Southeast
Leake Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lebanon,TN,STILL OPEN,1970,Involuntary,Southeast
Lee,FL,1999,Unknown year,Involuntary,Southeast
Lee 01,SC,2001,Unknown year,Involuntary,Southeast
Lee County,GA,2009,Unknown year,Involuntary,Southeast
Lee County,AL,2005,Unknown year,Involuntary,Southeast
Leeds City,AL,STILL OPEN,1963,Involuntary,Southeast
Leflore Co School Dist,MS,2005,Unknown year,Involuntary,Southeast
Lenoir County Public Schools,NC,STILL OPEN,Unknown year,Involuntary,Southeast
Leon,FL,1974,Unknown year,Involuntary,Southeast
Lexington 01,SC,2005,Unknown year,Involuntary,Southeast
Lexington 04,SC,STILL OPEN,1966,Involuntary,Southeast
Liberty 53,MO,2003,Unknown year,Involuntary,Midwest
Lima City,OH,1999,Unknown year,Involuntary,Midwest
Limestone County,AL,STILL OPEN,1963,Involuntary,Southeast
Lincoln Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lincoln County,GA,STILL OPEN,1968,Involuntary,Southeast
Lincoln Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Lindbergh Schools,MO,1999,Unknown year,Involuntary,Midwest
Linden City,AL,1977,Unknown year,Involuntary,Southeast
Little Rock School District,AR,2007,Unknown year,Involuntary,Southeast
Livingston Parish,LA,2001,Unknown year,Involuntary,Southeast
Long County,GA,2003,Unknown year,Involuntary,Southeast
Longview Isd,TX,STILL OPEN,1965,Involuntary,Southwest
Lorain City,OH,1994,Unknown year,Involuntary,Midwest
Los Angeles Unified,CA,STILL OPEN,1976,Involuntary,West
Loudoun Co Pblc Schs,VA,2006,Unknown year,Involuntary,Southeast
Louisville Municipal School Dist,MS,STILL OPEN,1966,Involuntary,Southeast
Lovelady Isd,TX,STILL OPEN,1977,Involuntary,Southwest
Lowndes Co School Dist,MS,2012,Unknown year,Involuntary,Southeast
Lowndes County,GA,2006,Unknown year,Involuntary,Southeast
Lowndes County,AL,1991,Unknown year,Involuntary,Southeast
Lubbock Isd,TX,1991,Unknown year,Involuntary,Southwest
Lufkin Isd,TX,2000,Unknown year,Involuntary,Southwest
Lynchburg City Pblc Schs,VA,STILL OPEN,1962,Involuntary,Southeast
M S D Decatur Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Lawrence Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Perry Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Pike Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Warren County,IN,1998,Unknown year,Involuntary,Midwest
M S D Warren Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Washington Township,IN,1998,Unknown year,Involuntary,Midwest
M S D Wayne Township,IN,1998,Unknown year,Involuntary,Midwest
Macon County,GA,2009,Unknown year,Involuntary,Southeast
Macon County,AL,2006,Unknown year,Involuntary,Southeast
Madison Co School Dist,MS,2006,Unknown year,Involuntary,Southeast
Madison County,AL,STILL OPEN,1964,Involuntary,Southeast
Madison County,TN,2010,Unknown year,Involuntary,Southeast
Madison Cusd 12,IL,STILL OPEN,1969,Involuntary,Midwest
Madison Parish,LA,2010,Unknown year,Involuntary,Southeast
Madisonville Cisd,TX,STILL OPEN,Unknown year,Involuntary,Southwest
Malakoff Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Manatee,FL,STILL OPEN,1969,Involuntary,Southeast
Manhasset Union Free School District,NY,STILL OPEN,1964,Involuntary,Northeast
Maplewood-Richmond Heights,MO,1999,Unknown year,Involuntary,Midwest
Marengo County,AL,1983,Unknown year,Involuntary,Southeast
Marion,FL,2007,Unknown year,Involuntary,Southeast
Marion Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Marion County,AL,STILL OPEN,1963,Involuntary,Southeast
Marion County,GA,2008,Unknown year,Involuntary,Southeast
Marshall Co School Dist,MS,2005,Unknown year,Involuntary,Southeast
Marshall County,AL,STILL OPEN,1963,Involuntary,Southeast
Maury County,TN,1969,Unknown year,Involuntary,Southeast
Mccomb School District,MS,2012,Unknown year,Involuntary,Southeast
Mccormick 01,SC,2003,Unknown year,Involuntary,Southeast
Mcduffie County,GA,STILL OPEN,1969,Involuntary,Southeast
Mcintosh County,GA,2006,Unknown year,Involuntary,Southeast
Mehlville R-Ix,MO,1999,Unknown year,Involuntary,Midwest
Memphis,TN,1992,Unknown year,Involuntary,Southeast
Meridian Public School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Meriwether County,GA,2008,Unknown year,Involuntary,Southeast
Midfield City,AL,2006,Unknown year,Involuntary,Southeast
Midland Isd,TX,2002,Unknown year,Involuntary,Southwest
Milan,TN,STILL OPEN,1970,Involuntary,Southeast
Milford School District,DE,STILL OPEN,1957,Involuntary,Southeast
Miller County,GA,2009,Unknown year,Involuntary,Southeast
Milwaukee School District,WI,STILL OPEN,1976,Involuntary,Midwest
Mineral Springs School Dist.,AR,1971,Unknown year,Involuntary,Southeast
Minneapolis Public School Dist.,MN,STILL OPEN,1972,Involuntary,Midwest
Mitchell County,GA,STILL OPEN,1969,Involuntary,Southeast
Mobile County,AL,1997,Unknown year,Involuntary,Southeast
Monroe County,GA,STILL OPEN,1969,Involuntary,Southeast
Monroe County,AL,1982,Unknown year,Involuntary,Southeast
Montclair,NJ,STILL OPEN,Unknown year,Involuntary,Northeast
Montgomery Co School Dist,MS,STILL OPEN,1967,Involuntary,Southeast
Montgomery County,GA,STILL OPEN,1969,Involuntary,Southeast
Montgomery County,AL,1993,Unknown year,Involuntary,Southeast
Montgomery County Schools,NC,STILL OPEN,1956,Involuntary,Southeast
Mooresville Con School Corp,IN,1998,Unknown year,Involuntary,Midwest
Morehouse Parish,LA,2013,Unknown year,Involuntary,Southeast
Morgan County,AL,STILL OPEN,1963,Involuntary,Southeast
Morgan County,GA,2006,Unknown year,Involuntary,Southeast
Mountain Brook City,AL,2005,Unknown year,Involuntary,Southeast
Mt Vernon Community Sch Corp,IN,1998,Unknown year,Involuntary,Midwest
Muscle Shoals City,AL,2007,Unknown year,Involuntary,Southeast
Muscogee County,GA,1997,Unknown year,Involuntary,Southeast
N. Little Rock School District,AR,STILL OPEN,1969,Involuntary,Southeast
Nash-Rocky Mount Schools,NC,1998,Unknown year,Involuntary,Southeast
Natchez-Adams School Dist,MS,2003,Unknown year,Involuntary,Southeast
Natchitoches Parish,LA,STILL OPEN,1970,Involuntary,Southeast
Neptune Township,NJ,STILL OPEN,1967,Involuntary,Northeast
Neshoba County School District,MS,STILL OPEN,1969,Involuntary,Southeast
Nettleton School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
New Braunfels Isd,TX,1979,Unknown year,Involuntary,Southwest
New Hanover County Schools,NC,1983,Unknown year,Involuntary,Southeast
New Haven School District,CT,STILL OPEN,1965,Involuntary,Northeast
New Rochelle City School District,NY,STILL OPEN,1961,Involuntary,Northeast
New York City Geographic District #18,NY,2008,Unknown year,Involuntary,Northeast
New York City Public Schools,NY,STILL OPEN,1973,Involuntary,Northeast
Newberry 01,SC,STILL OPEN,Unknown year,Involuntary,Southeast
Newport News City Pblc Schs,VA,STILL OPEN,1957,Involuntary,Southeast
Newton County,GA,STILL OPEN,1969,Involuntary,Southeast
Newton County School District,MS,2003,Unknown year,Involuntary,Southeast
Norfolk City Pblc Schs,VA,1985,Unknown year,Involuntary,Southeast
North Bolivar School District,MS,STILL OPEN,1983,Involuntary,Southeast
North Pike School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
North Tippah School Dist,MS,STILL OPEN,1968,Involuntary,Southeast
Northampton County Schools,NC,1976,Unknown year,Involuntary,Southeast
Norwalk School District,CT,STILL OPEN,1968,Involuntary,Northeast
Noxubee County School District,MS,2004,Unknown year,Involuntary,Southeast
Oakwood Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Obion County,TN,STILL OPEN,1962,Involuntary,Southeast
Oklahoma City,OK,1991,Unknown year,Involuntary,Southwest
Oktibbeha County School District,MS,STILL OPEN,1969,Involuntary,Southeast
Omaha Public Schools,NE,1984,Unknown year,Involuntary,Midwest
Oneonta City,AL,2005,Unknown year,Involuntary,Southeast
Opelika City,AL,2002,Unknown year,Involuntary,Southeast
Opp City,AL,2002,Unknown year,Involuntary,Southeast
Orange,FL,2010,Unknown year,Involuntary,Southeast
Orangeburg 03,SC,2006,Unknown year,Involuntary,Southeast
Orangeburg 05,SC,1990,Unknown year,Involuntary,Southeast
Orleans Parish,LA,Unknown year,Unknown year,Involuntary,Southeast
Ouachita Parish,LA,2013,Unknown year,Involuntary,Southeast
Oxford City,AL,STILL OPEN,1966,Involuntary,Southeast
Oxford School District,MS,1988,Unknown year,Involuntary,Southeast
Oxnard,CA,1987,Unknown year,Involuntary,West
Ozark City,AL,2002,Unknown year,Involuntary,Southeast
Palm Beach,FL,1979,Unknown year,Involuntary,Southeast
Palo Alto Unified,CA,STILL OPEN,1979,Involuntary,West
Parkway C-2,MO,1999,Unknown year,Involuntary,Midwest
Pasadena Unified,CA,1979,Unknown year,Involuntary,West
Pasco,FL,STILL OPEN,1970,Involuntary,Southeast
Pattonville R-Iii,MO,2005,Unknown year,Involuntary,Midwest
Peach County,GA,STILL OPEN,1969,Involuntary,Southeast
Pelham City,GA,2006,Unknown year,Involuntary,Southeast
Pell City,AL,STILL OPEN,1966,Involuntary,Southeast
Perry Central Com Schools Corp,IN,1998,Unknown year,Involuntary,Midwest
Perry County,AL,1982,Unknown year,Involuntary,Southeast
Person County Schools,NC,STILL OPEN,Unknown year,Involuntary,Southeast
Phenix City,AL,2005,Unknown year,Involuntary,Southeast
Philadelphia City Sd,PA,2009,Unknown year,Involuntary,Northeast
Philadelphia Public School Dist,MS,2010,Unknown year,Involuntary,Southeast
Phoenix Elementary District,AZ,2005,Unknown year,Involuntary,Southwest
Pickens County,AL,STILL OPEN,1963,Involuntary,Southeast
Piedmont City,AL,STILL OPEN,1963,Involuntary,Southeast
Pike County,AL,2007,Unknown year,Involuntary,Southeast
Pike County School Corp,IN,1998,Unknown year,Involuntary,Midwest
Pine Bluff School District,AR,STILL OPEN,1970,Involuntary,Southeast
Pinellas,FL,2000,Unknown year,Involuntary,Southeast
Pitt County Schools,NC,2013,Unknown year,Involuntary,Southeast
Pittsburg Unified,CA,STILL OPEN,1969,Involuntary,West
Pittsburgh Sd,PA,1983,Unknown year,Involuntary,Northeast
Plainfield Community Sch Corp,IN,1998,Unknown year,Involuntary,Midwest
Plaquemines Parish,LA,STILL OPEN,1969,Involuntary,Southeast
Pointe Coupee Parish,LA,STILL OPEN,1965,Involuntary,Southeast
Polk,FL,2000,Unknown year,Involuntary,Southeast
Pontiac City School District,MI,2000,Unknown year,Involuntary,Midwest
Pontotoc Co School Dist,MS,2007,Unknown year,Involuntary,Southeast
Poplarville Separate School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Port Arthur Isd,TX,2007,Unknown year,Involuntary,Southwest
Portsmouth City Pblc Schs,VA,1971,Unknown year,Involuntary,Southeast
Powhatan Co Pblc Schs,VA,STILL OPEN,1963,Involuntary,Southeast
Prince George'S County Public Schools,MD,2002,Unknown year,Involuntary,Southeast
Pulaski Co. Spec. School Dist.,AR,STILL OPEN,1983,Involuntary,Southeast
Pulaski County,GA,STILL OPEN,1969,Involuntary,Southeast
Putnam County,GA,2007,Unknown year,Involuntary,Southeast
Quitman Co School Dist,MS,STILL OPEN,Unknown year,Involuntary,Southeast
Quitman County,GA,2006,Unknown year,Involuntary,Southeast
Quitman School Dist,MS,STILL OPEN,1994,Involuntary,Southeast
Randolph County,AL,STILL OPEN,1963,Involuntary,Southeast
Randolph County,GA,STILL OPEN,1969,Involuntary,Southeast
Rankin Co School Dist,MS,STILL OPEN,1971,Involuntary,Southeast
Rapides Parish,LA,2006,Unknown year,Involuntary,Southeast
Raytown C-2,MO,2003,Unknown year,Involuntary,Midwest
Red Clay Consolidated School District,DE,1996,Unknown year,Involuntary,Southeast
Red River Parish,LA,2005,Unknown year,Involuntary,Southeast
Richardson Isd,TX,STILL OPEN,1966,Involuntary,Southwest
Richland Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Richmond City Pblc Schs,VA,1972,Unknown year,Involuntary,Southeast
Richmond County,GA,2013,Unknown year,Involuntary,Southeast
Ritenour,MO,1999,Unknown year,Involuntary,Midwest
Roanoke City,AL,2007,Unknown year,Involuntary,Southeast
Roanoke City Pblc Schs,VA,STILL OPEN,1962,Involuntary,Southeast
Roanoke Co Pblc Schs,VA,STILL OPEN,1970,Involuntary,Southeast
Rockford Sd 205,IL,2001,Unknown year,Involuntary,Midwest
Rockwood R-Vi,MO,1999,Unknown year,Involuntary,Midwest
Rome City,GA,2008,Unknown year,Involuntary,Southeast
Russell County,AL,2002,Unknown year,Involuntary,Southeast
Russellville City,AL,STILL OPEN,1963,Involuntary,Southeast
Sabine Parish,LA,STILL OPEN,1977,Involuntary,Southeast
Saluda 01,SC,2002,Unknown year,Involuntary,Southeast
San Angelo Isd,TX,STILL OPEN,Unknown year,Involuntary,Southwest
San Augustine Isd,TX,2006,Unknown year,Involuntary,Southwest
San Bernardino City Unified,CA,STILL OPEN,1974,Involuntary,West
San Diego Unified,CA,1998,Unknown year,Involuntary,West
San Felipe-Del Rio Cisd,TX,1988,Unknown year,Involuntary,Southwest
San Francisco Unified,CA,2005,Unknown year,Involuntary,West
San Jose Unified,CA,1998,Unknown year,Involuntary,West
San Juan District,UT,STILL OPEN,1994,Involuntary,West
Sarasota,FL,1971,Unknown year,Involuntary,Southeast
Schley County,GA,2006,Unknown year,Involuntary,Southeast
School District No. 1 In The County Of Denver And State Of C,CO,1995,Unknown year,Involuntary,West
School Town Of Speedway,IN,1998,Unknown year,Involuntary,Midwest
Scott Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Scottsboro City,AL,STILL OPEN,1963,Involuntary,Southeast
Screven County,GA,STILL OPEN,1968,Involuntary,Southeast
Selma City,AL,1977,Unknown year,Involuntary,Southeast
Seminole,FL,2006,Unknown year,Involuntary,Southeast
Seminole County,GA,2006,Unknown year,Involuntary,Southeast
Senatobia Municipal School Dist,MS,STILL OPEN,Unknown year,Involuntary,Southeast
Sequoia Union High,CA,STILL OPEN,1971,Involuntary,West
Sheffield City,AL,STILL OPEN,1963,Involuntary,Southeast
Shelby County,AL,STILL OPEN,1963,Involuntary,Southeast
Shelby County,KY,STILL OPEN,1972,Involuntary,
Shelby County,TN,2009,Unknown year,Involuntary,Southeast
Simpson Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Smith Co School Dist,MS,1992,Unknown year,Involuntary,Southeast
Smithville Isd,TX,STILL OPEN,1970,Involuntary,Southwest
So. Conway Co. School District,AR,STILL OPEN,1972,Involuntary,Southeast
South Bend Community Sch Corp,IN,STILL OPEN,1980,Involuntary,Midwest
South Delta School District,MS,2004,Unknown year,Involuntary,Southeast
South Pike School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
South Tippah School Dist,MS,STILL OPEN,1967,Involuntary,Southeast
Southampton Co Pblc Schs,VA,2008,Unknown year,Involuntary,Southeast
Specl. Sch. Dst. St. Louis Co.,MO,1999,Unknown year,Involuntary,Midwest
Springfield,MA,STILL OPEN,1965,Involuntary,Northeast
Springfield Sd 186,IL,STILL OPEN,1976,Involuntary,Midwest
St Clair County,AL,STILL OPEN,1966,Involuntary,Southeast
St. Bernard Parish,LA,2006,Unknown year,Involuntary,Southeast
St. Helena Parish,LA,STILL OPEN,1961,Involuntary,Southeast
St. James Parish,LA,STILL OPEN,1966,Involuntary,Southeast
St. John The Baptist Parish,LA,STILL OPEN,1966,Involuntary,Southeast
St. Johns,FL,STILL OPEN,1970,Involuntary,Southeast
St. Landry Parish,LA,STILL OPEN,1969,Involuntary,Southeast
St. Louis City,MO,1999,Unknown year,Involuntary,Midwest
St. Lucie,FL,1997,Unknown year,Involuntary,Southeast
St. Martin Parish,LA,STILL OPEN,1965,Involuntary,Southeast
St. Mary Parish,LA,STILL OPEN,1969,Involuntary,Southeast
St. Mary'S County Public Schools,MD,STILL OPEN,1958,Involuntary,Southeast
St. Tammany Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Starkville School District,MS,STILL OPEN,Unknown year,Involuntary,Southeast
Strong-Huttig School District,AR,STILL OPEN,1970,Involuntary,Southeast
Suffolk City Pblc Schs,VA,STILL OPEN,Unknown year,Involuntary,Southeast
Sulphur Springs Isd,TX,2000,Unknown year,Involuntary,Southwest
Sumter 02,SC,2012,Unknown year,Involuntary,Southeast
Sumter County,AL,STILL OPEN,1963,Involuntary,Southeast
Sumter County,GA,STILL OPEN,1969,Involuntary,Southeast
Sunflower Co School Dist,MS,2003,Unknown year,Involuntary,Southeast
Sweeny Isd,TX,1980,Unknown year,Involuntary,Southwest
Sylacauga City,AL,1995,Unknown year,Involuntary,Southeast
Talladega City,AL,1993,Unknown year,Involuntary,Southeast
Talladega County,AL,1985,Unknown year,Involuntary,Southeast
Tallapoosa County,AL,2004,Unknown year,Involuntary,Southeast
Tallassee City,AL,2003,Unknown year,Involuntary,Southeast
Tangipahoa Parish,LA,STILL OPEN,1968,Involuntary,Southeast
Tarrant City,AL,STILL OPEN,1963,Involuntary,Southeast
Tate Co School Dist,MS,STILL OPEN,Unknown year,Involuntary,Southeast
Tattnall County,GA,STILL OPEN,1969,Involuntary,Southeast
Tatum Isd,TX,2008,Unknown year,Involuntary,Southwest
Taylor County,GA,STILL OPEN,1969,Involuntary,Southeast
Telfair County,GA,STILL OPEN,1969,Involuntary,Southeast
Temple Isd,TX,2000,Unknown year,Involuntary,Southwest
Tensas Parish,LA,2005,Unknown year,Involuntary,Southeast
Terrebonne Parish,LA,STILL OPEN,1967,Involuntary,Southeast
Terrell County,GA,2008,Unknown year,Involuntary,Southeast
Thomas County,GA,2006,Unknown year,Involuntary,Southeast
Thomasville City,AL,1977,Unknown year,Involuntary,Southeast
Tipton County,TN,2007,Unknown year,Involuntary,Southeast
Tishomingo Co Sp Mun Sch Dist,MS,2005,Unknown year,Involuntary,Southeast
Toombs County,GA,2008,Unknown year,Involuntary,Southeast
Topeka Public Schools,KS,1999,Unknown year,Involuntary,Midwest
Trenton,TN,2008,Unknown year,Involuntary,Southeast
Treutlen County,GA,2007,Unknown year,Involuntary,Southeast
Trinidad Isd,TX,STILL OPEN,1976,Involuntary,Southwest
Trinity Isd,TX,STILL OPEN,1973,Involuntary,Southwest
Troup County,GA,2003,Unknown year,Involuntary,Southeast
Troy City,AL,2005,Unknown year,Involuntary,Southeast
Trussville City,AL,STILL OPEN,1975,Involuntary,Southeast
Tucson Unified District,AZ,STILL OPEN,1976,Involuntary,Southwest
Tulsa,OK,1983,Unknown year,Involuntary,Southwest
Tunica County School District,MS,STILL OPEN,1966,Involuntary,Southeast
Turner County,GA,2007,Unknown year,Involuntary,Southeast
Tuscaloosa City,AL,2000,Unknown year,Involuntary,Southeast
Tuscaloosa County,AL,STILL OPEN,1963,Involuntary,Southeast
Tuscumbia City,AL,STILL OPEN,1963,Involuntary,Southeast
Twiggs County,GA,2012,Unknown year,Involuntary,Southeast
Tyler Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Union Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Union County Public Schools,NC,1972,Unknown year,Involuntary,Southeast
Union Parish,LA,STILL OPEN,1969,Involuntary,Southeast
Union Public School Dist,MS,2007,Unknown year,Involuntary,Southeast
Union Township,NJ,STILL OPEN,Unknown year,Involuntary,Northeast
Uvalde Cisd,TX,STILL OPEN,1973,Involuntary,Southwest
Valdosta City,GA,STILL OPEN,1970,Involuntary,Southeast
Valley Park,MO,1999,Unknown year,Involuntary,Midwest
Vermilion Parish,LA,1974,Unknown year,Involuntary,Southeast
Vestavia Hills City,AL,2007,Unknown year,Involuntary,Southeast
Vicksburg Warren School Dist,MS,2008,Unknown year,Involuntary,Southeast
Vidalia City,GA,STILL OPEN,1969,Involuntary,Southeast
Volusia,FL,1970,Unknown year,Involuntary,Southeast
Waco Isd,TX,1989,Unknown year,Involuntary,Southwest
Wakulla,FL,2009,Unknown year,Involuntary,Southeast
Walker County,GA,2008,Unknown year,Involuntary,Southeast
Walker County,AL,1977,Unknown year,Involuntary,Southeast
Walthall Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Walton County,GA,2007,Unknown year,Involuntary,Southeast
Warren County,GA,STILL OPEN,1969,Involuntary,Southeast
Warren County Schools,NC,STILL OPEN,Unknown year,Involuntary,Southeast
Warren School District,AR,STILL OPEN,1968,Involuntary,Southeast
Washington Com Schools,IN,1998,Unknown year,Involuntary,Midwest
Washington County,GA,STILL OPEN,1970,Involuntary,Southeast
Washington County,AL,1977,Unknown year,Involuntary,Southeast
Washington Parish,LA,STILL OPEN,1967,Involuntary,Southeast
Waterbury School District,CT,STILL OPEN,1969,Involuntary,Northeast
Watson Chapel School District,AR,STILL OPEN,1971,Involuntary,Southeast
Wayne Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Wayne County,GA,STILL OPEN,1969,Involuntary,Southeast
Webster Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Webster County,GA,2006,Unknown year,Involuntary,Southeast
Webster Groves,MO,1999,Unknown year,Involuntary,Midwest
Webster Parish,LA,STILL OPEN,1974,Involuntary,Southeast
Weldon City Schools,NC,STILL OPEN,1964,Involuntary,Southeast
West Baton Rouge Parish,LA,STILL OPEN,1965,Involuntary,Southeast
West Carroll Parish,LA,STILL OPEN,1969,Involuntary,Southeast
West Feliciana Parish,LA,2007,Unknown year,Involuntary,Southeast
West Memphis School District,AR,STILL OPEN,1965,Involuntary,Southeast
West Point School Dist,MS,STILL OPEN,1971,Involuntary,Southeast
West Tallahatchie School District,MS,2006,Unknown year,Involuntary,Southeast
Western Line School District,MS,STILL OPEN,Unknown year,Involuntary,Southeast
Western Wayne Schools,IN,1998,Unknown year,Involuntary,Midwest
Wheeler County,GA,STILL OPEN,1969,Involuntary,Southeast
Whitewright Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Wichita Falls Isd,TX,1999,Unknown year,Involuntary,Southwest
Wilcox County,GA,STILL OPEN,1969,Involuntary,Southeast
Wilcox County,AL,1979,Unknown year,Involuntary,Southeast
Wilkes County,GA,2005,Unknown year,Involuntary,Southeast
Wilkinson Co School Dist,MS,2004,Unknown year,Involuntary,Southeast
Wilkinson County,GA,2007,Unknown year,Involuntary,Southeast
Wilson County,TN,STILL OPEN,1970,Involuntary,Southeast
Wilson County Schools,NC,1997,Unknown year,Involuntary,Southeast
Winfield City,AL,STILL OPEN,1963,Involuntary,Southeast
Winona Isd,TX,Unknown year,Unknown year,Involuntary,Southwest
Winston County,AL,2004,Unknown year,Involuntary,Southeast
Woodland Hills Sd,PA,2000,Unknown year,Involuntary,Northeast
Worth County,GA,STILL OPEN,1969,Involuntary,Southeast
Yancey County Schools,NC,STILL OPEN,1960,Involuntary,Southeast
Yazoo City Municipal School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Yazoo Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Yonkers City School District,NY,2002,Unknown year,Involuntary,Northeast
