State,District Name,Received,Resolved,Order Type,Region,History of Slavery
MA,Lynn,2012-11-06,2013-05-03,Voluntary,Northeast,Free State
MA,Lynn,2013-03-19,2013-05-03,Voluntary,Northeast,Free State
MA,Lynn,2012-11-06,2013-05-03,Voluntary,Northeast,Free State
MA,Lynn,2010-09-24,2014-02-18,Voluntary,Northeast,Free State
IN,M S D Pike Township,2008-04-28,2012-12-05,Voluntary,Midwest,Free State
MI,Macomb Isd,2011-01-11,2011-09-14,Voluntary,Midwest,Free State
KY,Madison Co,2011-08-12,2012-04-23,Voluntary,,Border State
OH,Madison-Plains Local Sd,2009-06-03,2009-11-30,Voluntary,Midwest,Free State
FL,Manatee County School District,2011-06-06,2013-06-27,Voluntary,Southeast,Slave State
NH,Manchester,2011-04-12,2014-04-09,Voluntary,Northeast,Free State
CO,Mapleton            1,2008-11-03,2012-05-21,Voluntary,West,Territory
OH,Maplewood Career Center,2011-10-31,2012-09-12,Voluntary,Midwest,Free State
MO,Maries County R-I School District,2008-11-06,2009-05-05,Voluntary,Midwest,Border State
MO,Maries County R-I School District,2009-02-23,2009-08-20,Voluntary,Midwest,Border State
GA,Marion County,2011-01-13,2011-07-14,Voluntary,Southeast,Slave State
FL,Marion County School District,2010-05-10,2013-04-09,Voluntary,Southeast,Slave State
MI,Marygrove College,2009-07-06,2010-02-26,Voluntary,Midwest,Free State
MD,Maryland Higher Education Comm,1999-10-04,2000-12-06,Voluntary,Southeast,Border State
TN,Memphis City School District,2010-04-09,2012-04-23,Voluntary,Southeast,Slave State
CA,Merritt College,2008-04-10,2010-05-20,Voluntary,West,Free State
TN,Metro Nashville Public Schools,2012-05-04,2013-03-01,Voluntary,Southeast,Slave State
TN,Metro Nashville Public Schools,2009-10-09,2011-09-29,Voluntary,Southeast,Slave State
MO,Metropolitan Community College,2010-11-22,2011-07-20,Voluntary,Midwest,Border State
NE,Midland University,2010-09-21,2011-06-24,Voluntary,Midwest,Free State
MN,Minneapolis Public Schools-School District #1,2012-12-27,2013-06-25,Voluntary,Midwest,Free State
MN,Minneapolis Public Schools-School District #1,2013-02-11,2013-08-09,Voluntary,Midwest,Free State
MN,Minneapolis Public Schools-School District #1,2008-07-21,2010-01-29,Voluntary,Midwest,Free State
MO,Mo Dept Of Elementary And Secondary Education,2006-05-10,2010-09-27,Voluntary,Midwest,Border State
CA,Monterey Peninsula Unified,2013-05-15,2014-06-12,Voluntary,West,Free State
AL,Montgomery County Sch Dist,2011-05-19,2012-01-27,Voluntary,Southeast,Slave State
NC,Moore County Schools,2009-11-30,2012-11-27,Voluntary,Southeast,Slave State
ME,Msad 16         Hallowell,2008-04-09,2008-10-03,Voluntary,Northeast,Free State
CA,Mt. Diablo Unified,2009-04-07,2014-04-08,Voluntary,West,Free State
AZ,Murphy Elementary District,2009-08-10,2012-09-21,Voluntary,Southwest,Territory
GA,Muscogee County,2013-03-04,2013-09-24,Voluntary,Southeast,Slave State
IL,Neoga Comm Unit School Dist 3,2010-12-17,2011-09-27,Voluntary,Midwest,Free State
MO,Neosho R-V School District,1999-04-26,2000-05-11,Voluntary,Midwest,Border State
CT,New London Board Of Education,2010-05-03,2012-02-01,Voluntary,Northeast,Free State
NM,New Mexico Children Youth & Families,2007-08-02,2008-02-20,Voluntary,Southwest,Territory
OH,New Richmond Ex Vill Sd,2011-01-05,2011-08-29,Voluntary,Midwest,Free State
SC,Newberry County School District,2008-01-07,2010-02-01,Voluntary,Southeast,Slave State
VA,Norfolk Public Schools,2008-06-24,2012-03-05,Voluntary,Southeast,Slave State
OK,Norman Public Schools,2007-04-16,2009-03-27,Voluntary,Southwest,Territory
NJ,Northern Valley Regional High School District,2011-04-25,2013-07-31,Voluntary,Northeast,Free State
CA,Oakland Unified,2012-07-20,2013-02-28,Voluntary,West,Free State
CA,Oakland Unified,2012-05-09,2012-09-27,Voluntary,West,Free State
OK,Oklahoma City Public Schools,2011-09-19,2012-07-24,Voluntary,Southwest,Territory
OK,Oklahoma State Regents Of Higher Education,2002-11-13,2009-06-26,Voluntary,Southwest,Territory
OH,Olentangy Local Sd,2012-02-15,2012-08-24,Voluntary,Midwest,Free State
NY,Onondaga-Cortland-Madison Boces,2014-02-14,2014-06-16,Voluntary,Northeast,Free State
AL,Opelika City Sch Dist,2012-11-19,2013-05-16,Voluntary,Southeast,Slave State
MN,Owatonna,2010-03-23,2011-04-12,Voluntary,Midwest,Free State
OH,Painesville City Local Sd,2008-12-22,2009-12-31,Voluntary,Midwest,Free State
NE,Papillion-La Vista Public Schools,2010-11-12,2011-04-21,Voluntary,Midwest,Free State
AZ,Paradise Valley Unified District,2000-09-25,2001-01-18,Voluntary,Southwest,Territory
CA,Parlier Unified,2006-07-10,2008-02-29,Voluntary,West,Free State
CA,Pasadena Unified,2011-09-16,2012-07-31,Voluntary,West,Free State
CA,Pasadena Unified,2010-10-24,2012-05-07,Voluntary,West,Free State
CA,Pasadena Unified,2013-03-25,2014-04-08,Voluntary,West,Free State
CA,Pasadena Unified,2010-11-12,2012-08-17,Voluntary,West,Free State
CA,Pasadena Unified,2010-10-25,2011-07-21,Voluntary,West,Free State
NJ,Paterson School District,2008-10-06,2011-05-13,Voluntary,Northeast,Free State
MO,Pattonville R-Iii School District,2009-05-27,2009-11-23,Voluntary,Midwest,Border State
MO,Pattonville R-Iii School District,2009-05-18,2009-12-23,Voluntary,Midwest,Border State
MO,Pemiscot County R-Iii School District,2007-09-17,2008-03-14,Voluntary,Midwest,Border State
PA,Pennsylvania Higher Ed System,1995-09-06,1999-05-12,Voluntary,Northeast,Free State
PA,Philadelphia Sd,2010-11-19,2012-05-10,Voluntary,Northeast,Free State
NC,Pitt County Schools,2010-02-24,2012-09-11,Voluntary,Southeast,Slave State
NJ,Plainfield Board Of Education,2010-07-23,2011-01-19,Voluntary,Northeast,Free State
IL,Plainfield School Dist 202,2011-10-11,2012-05-03,Voluntary,Midwest,Free State
MO,Platte County R-Iii School District,2010-08-12,2011-04-06,Voluntary,Midwest,Border State
WI,Platteville,2012-12-26,2013-11-20,Voluntary,Midwest,Free State
DE,Polytech School District,2014-01-10,2014-04-25,Voluntary,Southeast,Border State
MO,Poplar Bluff R-I School District,2009-08-10,2010-02-04,Voluntary,Midwest,Border State
MO,Poplar Bluff R-I School District,2009-11-13,2010-05-11,Voluntary,Midwest,Border State
ME,Portland Public Schools,2012-09-17,2013-05-28,Voluntary,Northeast,Free State
IL,Posen-Robbins El Sch Dist 143-5,2012-12-26,2013-06-03,Voluntary,Midwest,Free State
RI,Providence Sch Dist,2008-11-17,2011-09-06,Voluntary,Northeast,Free State
CO,Pueblo School District 70,2004-09-20,2007-08-13,Voluntary,West,Territory
FL,Putnam County School District,2012-04-05,2012-12-10,Voluntary,Southeast,Slave State
SD,Rapid City Area School District #51-4,2007-11-23,2011-05-27,Voluntary,Midwest,Territory
NH,Raymond Sch Dist,2011-04-28,2011-08-24,Voluntary,Northeast,Free State
MN,Red Wing,2009-12-04,2010-09-02,Voluntary,Midwest,Free State
CT,Redding Board Of Education,2009-09-01,2010-04-13,Voluntary,Northeast,Free State
CT,Regional School District 15,2011-10-14,2012-04-11,Voluntary,Northeast,Free State
CT,Regional School District 19,2012-04-03,2012-09-28,Voluntary,Northeast,Free State
MA,Revere,2010-11-29,2011-05-20,Voluntary,Northeast,Free State
TX,Richardson Isd,2012-03-14,2013-05-20,Voluntary,Southwest,Slave State
OH,Richmond Heights Local Sd,2011-02-22,2011-08-19,Voluntary,Midwest,Free State
OH,Richmond Heights Local Sd,2011-03-21,2012-05-11,Voluntary,Midwest,Free State
OH,Richmond Heights Local Sd,2011-09-19,2012-05-11,Voluntary,Midwest,Free State
AZ,Riverside Elementary District,2006-09-21,2007-03-27,Voluntary,Southwest,Territory
CO,Roaring Fork        Re-1,2004-04-29,2005-08-05,Voluntary,West,Territory
NC,Robeson County Schools,2012-02-22,2013-03-21,Voluntary,Southeast,Slave State
NC,Robeson County Schools,2012-12-04,2013-07-08,Voluntary,Southeast,Slave State
MO,Rockwood R-Vi School District,2012-10-25,2013-04-19,Voluntary,Midwest,Border State
AZ,Roosevelt Elementary District,2000-06-20,2000-10-27,Voluntary,Southwest,Territory
NC,Rowan-Salisbury Schools,2011-10-31,2012-05-01,Voluntary,Southeast,Slave State
CA,Sacramento City Unified,2013-04-22,2014-06-13,Voluntary,West,Free State
AZ,Sahuarita Unified District,2001-11-26,2002-05-07,Voluntary,Southwest,Territory
CA,San Francisco State University,2013-10-17,2014-04-10,Voluntary,West,Free State
CA,Santa Ana Unified,2013-05-31,2014-01-24,Voluntary,West,Free State
CA,Santa Clara Unified,2013-03-13,2013-12-18,Voluntary,West,Free State
NM,Santa Fe Public Schools,2003-05-05,2004-08-23,Voluntary,Southwest,Territory
CA,Santa Maria-Bonita Elementary,2012-04-30,2012-10-12,Voluntary,West,Free State
MN,Sauk Rapids Public School District 47,2010-10-01,2012-06-04,Voluntary,Midwest,Free State
NY,Schenectady City School District,2001-06-26,2003-11-18,Voluntary,Northeast,Free State
NY,Schenectady City School District,2010-03-19,2013-10-30,Voluntary,Northeast,Free State
CT,Scotland Board Of Education,2011-03-29,2011-09-19,Voluntary,Northeast,Free State
AZ,Scottsdale Unified District,2008-01-22,2009-12-17,Voluntary,Southwest,Territory
KS,Shawnee Mission Public Schools U.S.D. #512,2008-03-31,2010-03-04,Voluntary,Midwest,Free State
WA,Snoqualmie Valley Sd No. 410,2013-05-14,2014-06-13,Voluntary,West,Territory
AZ,Snowflake Unified District,2004-08-23,2005-10-25,Voluntary,Southwest,Territory
MI,South Haven Public Schools,2010-11-12,2011-05-11,Voluntary,Midwest,Free State
NE,South Sioux City Community Schools,1997-03-04,1997-07-16,Voluntary,Midwest,Free State
MO,Southwest Baptist University,2008-10-24,2009-05-14,Voluntary,Midwest,Border State
MA,Springfield,2012-05-09,2013-02-14,Voluntary,Northeast,Free State
MA,Springfield,2007-06-26,2008-09-26,Voluntary,Northeast,Free State
MA,Springfield,2005-08-30,2006-02-24,Voluntary,Northeast,Free State
MA,Springfield,2007-01-22,2010-07-14,Voluntary,Northeast,Free State
VT,Springfield Sd,2011-04-14,2012-08-14,Voluntary,Northeast,Free State
CO,St Vrain Valley School District Re 1J,2010-07-13,2010-11-17,Voluntary,West,Territory
MN,St. Cloud Area School District 742,2010-03-23,2011-11-16,Voluntary,Midwest,Free State
MO,State Fair Community College,2008-08-20,2009-08-17,Voluntary,Midwest,Border State
CA,Stony Creek Joint Unified,2013-08-29,2014-04-08,Voluntary,West,Free State
OK,Stroud Public Schools,2013-05-06,2013-11-18,Voluntary,Southwest,Territory
WI,Sun Prairie Area,2011-05-18,2013-11-08,Voluntary,Midwest,Free State
OH,Sylvania City Sd,2004-06-14,2006-04-20,Voluntary,Midwest,Free State
NY,Syracuse City School District,2012-10-05,2013-05-13,Voluntary,Northeast,Free State
KS,Tabor College,2013-11-27,2014-05-23,Voluntary,Midwest,Free State
OK,Tahlequah Public Schools,2010-05-05,2010-10-28,Voluntary,Southwest,Territory
AL,Tallapoosa County Sch Dist,2011-05-06,2011-11-02,Voluntary,Southeast,Slave State
AL,Tallapoosa County Sch Dist,2011-03-29,2011-09-23,Voluntary,Southeast,Slave State
CA,Temecula Valley Unified,2011-12-23,2013-01-03,Voluntary,West,Free State
TX,Texas Higher Ed Desegregation,1997-02-04,2000-05-23,Voluntary,Southwest,Slave State
TN,The National College Of Business And Technology,2010-05-06,2013-05-30,Voluntary,Southeast,Slave State
OR,Tigard-Tualatin Sd 23J,2010-09-22,2014-02-28,Voluntary,West,Free State
OH,Toledo City School District,2011-12-12,2012-11-30,Voluntary,Midwest,Free State
AZ,Tolleson Union High School District,2011-12-19,2012-06-15,Voluntary,Southwest,Territory
KS,Topeka Public Schools U.S.D. #501,2012-04-17,2012-10-12,Voluntary,Midwest,Free State
MI,Traverse City Area Public Schools,2010-04-12,2012-05-31,Voluntary,Midwest,Free State
MO,Truman State University,2010-06-09,2012-05-09,Voluntary,Midwest,Border State
AZ,Tucson Unified District,2010-05-11,2011-02-22,Voluntary,Southwest,Territory
AZ,Tucson Unified District,2012-04-18,2013-04-22,Voluntary,Southwest,Territory
AZ,Tucson Unified District,1994-10-24,1996-05-31,Voluntary,Southwest,Territory
OK,Tulsa Public Schools,2009-12-14,2010-07-08,Voluntary,Southwest,Territory
OK,Tulsa Public Schools,2010-03-31,2013-02-04,Voluntary,Southwest,Territory
OK,Union Public Schools,2010-03-12,2010-09-07,Voluntary,Southwest,Territory
CA,University Of California-San Diego,2011-03-30,2012-04-16,Voluntary,West,Free State
NY,Vestal Central School District,2011-07-01,2012-05-21,Voluntary,Northeast,Free State
CT,Wallingford Board Of Education,2013-06-10,2013-12-23,Voluntary,Northeast,Free State
MO,Warrensburg R-Vi School District,2011-09-16,2012-03-14,Voluntary,Midwest,Border State
AZ,Washington Elementary School District,2011-02-04,2011-08-03,Voluntary,Southwest,Territory
OK,Wayne Public Schools,2013-03-28,2013-09-24,Voluntary,Southwest,Territory
PA,Waynesboro Area Sd,2011-06-16,2012-02-17,Voluntary,Northeast,Free State
VA,Waynesboro City Public Schools,2011-10-17,2012-03-15,Voluntary,Southeast,Slave State
TN,Weakley County School District,2013-01-22,2013-07-19,Voluntary,Southeast,Slave State
CA,West Contra Costa Unified,2010-07-06,2012-06-15,Voluntary,West,Free State
OH,West Geauga Local Sd,2012-04-30,2012-12-04,Voluntary,Midwest,Free State
NY,Westchester Community College,2011-09-28,2012-05-31,Voluntary,Northeast,Free State
NY,White Plains Public Schools,2011-02-14,2013-04-18,Voluntary,Northeast,Free State
PA,Wilkes-Barre Area Sd,2011-05-25,2012-03-30,Voluntary,Northeast,Free State
NC,Wilson County Schools,2010-04-05,2012-08-06,Voluntary,Southeast,Slave State
CT,Windham Board Of Education,2004-09-08,2006-08-18,Voluntary,Northeast,Free State
MA,Worcester,2012-08-22,2013-02-15,Voluntary,Northeast,Free State
AZ,Yuma School District 1,2013-05-20,2013-11-27,Voluntary,Southwest,Territory
